Element	X	Y	Radius	e_x	e_y	X	Y
-	-	-	round(sqrt(B^2+C^2),3)	round(B/D,4)	round(C/D,4)	D*E	D*F
MC Foot	0	0	0	--	--	--	--
Analyzer Pole	32.5	2.5	32.596	0.9971	0.0767	32.50147	2.50011
Mirror Up	32.5	9.5	33.86	0.9598	0.2806	32.49883	9.50112
Mirror MC	32.5	9.5	33.86	0.9598	0.2806	32.49883	9.50112
MC Lens	10	9.5	13.793	0.725	0.6888	9.99992	9.50062
MC Entry	8.5	9.5	12.748	0.6668	0.7452	8.50037	9.49981
Edge Filter	32.5	16.5	36.449	0.8917	0.4527	32.50157	16.50046
Lin Pol	32.5	20.5	38.425	0.8458	0.5335	32.49987	20.49974
HWP	32.5	31.5	45.26	0.7181	0.696	32.50121	31.50096
Beam Splitter	32.5	45	55.509	0.5855	0.8107	32.50052	45.00115
Lens Holder	54.4	23.1	59.101	0.9205	0.3909	54.40247	23.10258
Sample	62.3	15.2	64.127	0.9715	0.237	62.29938	15.1981
Camera BS	48	29.5	56.34	0.852	0.5236	48.00168	29.49962
Camera	61.25	40.75	73.567	0.8326	0.5539	61.25188	40.74876
Mirror UV/Green	25.5	52	57.916	0.4403	0.8979	25.50041	52.00278
Beam Lift Upper	177.5	60	187.367	0.9473	0.3202	177.49276	59.99491
Beam Lift Lower	177.5	60	187.367	0.9473	0.3202	177.49276	59.99491
HeCd Laser	177.5	-55	185.826	0.9552	-0.296	177.501	-55.0045
Laser Aperture	177.5	-52.5	185.101	0.9589	-0.2836	177.49335	-52.49464
Lens f15mm	177.5	-41	182.174	0.9743	-0.2251	177.49213	-41.00737
PinHole	177.5	-38.2	181.564	0.9776	-0.2104	177.49697	-38.20107
Lensf38mm	177.5	-36	181.114	0.98	-0.1988	177.49172	-36.00546
LaserCleanUpFilter	177.5	-29.5	179.935	0.9865	-0.1639	177.50588	-29.49135
CleanRoom Aperture	177.5	-2	177.511	0.9999	-0.0113	177.49325	-2.00587
Beam Splitter PL 70/30	177.5	16.5	178.265	0.9957	0.0926	177.49846	16.50734
Lens2-532nm	33.27817	59.77817	68.417	0.4864	0.8737	33.27803	59.77593
PH-532nm	42.47056	68.97056	80.998	0.5243	0.8515	42.46725	68.9698
Lens1-532nm	44.94544	71.44544	84.407	0.5325	0.8464	44.94673	71.44208
LaserlineFilter-532nm	46.7132	73.2132	86.846	0.5379	0.843	46.71446	73.21118
Laser-532nm	50.95584	77.45584	92.714	0.5496	0.8354	50.95561	77.45328
Detector	-10	45	46.098	-0.2169	0.9762	-9.99866	45.00087
