Experiment	bias spectroscopy	
Saved Date	31.03.2023 14:44:30	
User		
Date		
X (m)	-528.284E-9	
Y (m)	9.34745E-9	
Z (m)	9.33423E-9	
Z offset (m)	0E+0	
Settling time (s)	50E-3	
Integration time (s)	70E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	31.03.2023 14:43:17	
Filter type	None	
Order		
Cutoff frq		
Bias>Bias (V)	-3E+0	
Bias>Calibration (V/V)	-1E+0	
Bias>Offset (V)	0E+0	
Bias Spectroscopy>Sweep Start (V)	-3E+0	
Bias Spectroscopy>Sweep End (V)	3E+0	
Bias Spectroscopy>Num Pixel	600	
Bias Spectroscopy>Z Avg time (s)	100E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	100E-3	
Bias Spectroscopy>Settling time (s)	50E-3	
Bias Spectroscopy>Integration time (s)	70E-3	
Bias Spectroscopy>End Settling time (s)	50E-3	
Bias Spectroscopy>Z control time (s)	50E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	FALSE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	1	
Bias Spectroscopy>Channels	Current (A);Input 4 dissipation PLL (V);Input 7 (V);Input 8 (V);Bias (V)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	
Z-Controller>Z (m)	9.33406E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	300E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	4E-12	
Z-Controller>I gain	22.2222E-9	
Z-Controller>Time const (s)	180E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Bias calc (V)	Current (A)	LI Demod R (V)	LI Demod X (V)	LI Demod Y (V)	Bias (V)
-3.00000E+0	-299.844E-12	278.778E-3	226.095E-3	-158.440E-3	-3.00000E+0
-2.98998E+0	-297.224E-12	262.808E-3	223.343E-3	-133.727E-3	-2.98998E+0
-2.97997E+0	-295.464E-12	280.705E-3	236.525E-3	-148.040E-3	-2.97997E+0
-2.96995E+0	-293.567E-12	281.133E-3	228.188E-3	-161.346E-3	-2.96995E+0
-2.95993E+0	-291.247E-12	283.461E-3	234.458E-3	-156.397E-3	-2.95993E+0
-2.94992E+0	-289.180E-12	274.657E-3	228.089E-3	-150.658E-3	-2.94992E+0
-2.93990E+0	-286.986E-12	291.755E-3	247.956E-3	-151.057E-3	-2.93990E+0
-2.92988E+0	-285.011E-12	290.049E-3	255.302E-3	-134.384E-3	-2.92988E+0
-2.91987E+0	-281.882E-12	290.581E-3	245.664E-3	-153.615E-3	-2.91987E+0
-2.90985E+0	-280.220E-12	286.366E-3	249.272E-3	-139.111E-3	-2.90985E+0
-2.89983E+0	-278.152E-12	305.583E-3	273.496E-3	-134.461E-3	-2.89983E+0
-2.88982E+0	-275.326E-12	313.144E-3	271.235E-3	-155.191E-3	-2.88982E+0
-2.87980E+0	-273.349E-12	319.463E-3	276.168E-3	-158.375E-3	-2.87980E+0
-2.86978E+0	-270.876E-12	288.821E-3	261.988E-3	-120.128E-3	-2.86978E+0
-2.85977E+0	-268.442E-12	304.020E-3	262.063E-3	-153.031E-3	-2.85977E+0
-2.84975E+0	-266.267E-12	303.577E-3	266.812E-3	-143.711E-3	-2.84975E+0
-2.83973E+0	-263.647E-12	296.921E-3	261.669E-3	-138.130E-3	-2.83973E+0
-2.82972E+0	-261.288E-12	298.277E-3	257.981E-3	-148.696E-3	-2.82972E+0
-2.81970E+0	-259.662E-12	304.820E-3	261.660E-3	-153.356E-3	-2.81970E+0
-2.80968E+0	-257.364E-12	309.225E-3	270.854E-3	-147.345E-3	-2.80968E+0
